model,eval,NMSE,EVM,ACLR_L,ACLR_R,ACLR_AVG,n_seg
DGRU H=8,paper(nperseg=2560),-40.603,-43.211,-48.660,-44.956,-46.808,3
DGRU H=8,sliding-window(FL=50),-41.190,-43.680,-48.748,-45.374,-47.061,2
TRANSFORMER no-PE,paper(nperseg=2560),-21.077,-21.443,-48.308,-46.326,-47.317,3
TRANSFORMER no-PE,sliding-window(FL=50),-21.233,-21.800,-47.605,-45.332,-46.468,2
TRANSFORMER w/PE,paper(nperseg=2560),16.595,7.492,-20.746,-21.366,-21.056,3
TRANSFORMER w/PE,sliding-window(FL=50),-21.006,-21.848,-37.101,-36.214,-36.658,2
